Date,Price
15/02/2021 23:00,47951.85
16/02/2021 23:00,49160.1
17/02/2021 23:00,52118.23
18/02/2021 23:00,51608.15
19/02/2021 23:00,55916.5
20/02/2021 23:00,56001.2
21/02/2021 23:00,57487.86
22/02/2021 23:00,54123.4
23/02/2021 23:00,48880.43
24/02/2021 23:00,50624.84
25/02/2021 23:00,46800.42
26/02/2021 23:00,46340.31
27/02/2021 23:00,46155.87
28/02/2021 23:00,45113.92
01/03/2021 23:00,49618.43
02/03/2021 23:00,48356.04
03/03/2021 23:00,50477.7
04/03/2021 23:00,48448.91
05/03/2021 23:00,48861.38
06/03/2021 23:00,48881.59
07/03/2021 23:00,51169.7
08/03/2021 23:00,52299.33
09/03/2021 23:00,54881.52
10/03/2021 23:00,55997.23
11/03/2021 23:00,57764
12/03/2021 23:00,57253.28
13/03/2021 23:00,61258.73
14/03/2021 23:00,59133.47
15/03/2021 23:00,55754.72
16/03/2021 23:00,56872.38
17/03/2021 23:00,58913
18/03/2021 23:00,57665.9
19/03/2021 23:00,58075.1
20/03/2021 23:00,58085.8
21/03/2021 23:00,57411.17
22/03/2021 23:00,54204.96
23/03/2021 23:00,54477.46
24/03/2021 23:00,52508.23
25/03/2021 23:00,51415.92
26/03/2021 23:00,55074.47
27/03/2021 23:00,55863.93
28/03/2021 23:00,55783.71
29/03/2021 23:00,57627.67
30/03/2021 23:00,58730.13
31/03/2021 23:00,58735.25
01/04/2021 23:00,58736.92
02/04/2021 23:00,59031.32
03/04/2021 23:00,57076.49
05/04/2021 00:00,58206.55
06/04/2021 00:00,59054.1
07/04/2021 00:00,58020.46
08/04/2021 00:00,55947.27
09/04/2021 00:00,58048.59
10/04/2021 00:00,58102.58
11/04/2021 00:00,59774
12/04/2021 00:00,59964.87
13/04/2021 00:00,59834.74
14/04/2021 00:00,63554.44
15/04/2021 00:00,62969.12
16/04/2021 00:00,63252.63
17/04/2021 00:00,61455.98
18/04/2021 00:00,60087.09
19/04/2021 00:00,56251.48
20/04/2021 00:00,55703.14
21/04/2021 00:00,56507.91
22/04/2021 00:00,53808.8
23/04/2021 00:00,51731.71
24/04/2021 00:00,51153.13
25/04/2021 00:00,50110.53
26/04/2021 00:00,49075.58
27/04/2021 00:00,54056.64
28/04/2021 00:00,55071.46
29/04/2021 00:00,54884.1
30/04/2021 00:00,53584.15
01/05/2021 00:00,57796.62
02/05/2021 00:00,57857.5
03/05/2021 00:00,56610.46
04/05/2021 00:00,57213.33
05/05/2021 00:00,53241.72
06/05/2021 00:00,57473.23
07/05/2021 00:00,56428.16
08/05/2021 00:00,57380.27
09/05/2021 00:00,58928.81
10/05/2021 00:00,58280.73
11/05/2021 00:00,55883.5
12/05/2021 00:00,56750
13/05/2021 00:00,49007.09
14/05/2021 00:00,49702.27
15/05/2021 00:00,49922.52
16/05/2021 00:00,46736.58
17/05/2021 00:00,46441.64
18/05/2021 00:00,43596.24
19/05/2021 00:00,42912.19
20/05/2021 00:00,36964.27
21/05/2021 00:00,40784.32
22/05/2021 00:00,37280.35
23/05/2021 00:00,37528.3
24/05/2021 00:00,34754.54
25/05/2021 00:00,38728.59
26/05/2021 00:00,38410.5
27/05/2021 00:00,39266.04
28/05/2021 00:00,38445.29
29/05/2021 00:00,35689.62
30/05/2021 00:00,34647.67
